Title,Full Reference
learning natural coding conventions,"Allamanis M., Barr E.T., Bird C., Sutton C., Learning natural coding conventions, Foundations of Software Engineering (FSE), (2014)"
compilation of domestic and international information leakage cases in 2018[eb/ol],"Security Guest R., Compilation of domestic and international information leakage cases in 2018[EB/OL], (2023)"
adapting meta knowledge with heterogeneous information network for covid-19 themed malicious repository detection,"Qian Y., Zhang Y., Ye Y., Zhang C., Adapting Meta Knowledge with Heterogeneous Information Network for COVID-19 Themed Malicious Repository Detection, IJCAI, (2021)"
assessing technical debt by identifying design flaws in software systems,"Marinescu R., Assessing technical debt by identifying design flaws in software systems, IBM J. Res. Dev., 56, 5, (2012)"
predicting program properties from ”big code”,"Raychev V., Vechev M., Krause A., Predicting program properties from ”Big Code”, SIGPLAN Not., 50, 1, pp. 111-124, (2015)"
the perceptron: a probabilistic model for information storage and organization in the brain,"Rosenblatt F., The perceptron: a probabilistic model for information storage and organization in the brain, Psychol Rev, 65, 6, (1958)"
asteria: deep learning-based ast-encoding for crossplatform binary code similarity detection,"Yang S., Cheng L., Zeng Y., Lang Z., Zhu H., Shi Z., Asteria: Deep learning-based ast-encoding for crossplatform binary code similarity detection, CoRR, (2021)"
practical bayesian optimization of machine learning algorithms,"Snoek J., Larochelle H., Adams R.P., Practical bayesian optimization of machine learning algorithms, Advances in Neural Information Processing Systems, (2012)"
statically-directed dynamic automated test generation,"Babic D., Martignoni L., McCamant S., Song D., Statically-directed dynamic automated test generation, Proceedings of the 2011 International Symposium on Software Testing and Analysis, pp. 12-22, (2011)"
reviewer recommendation using software artifact traceability graphs,"Sulun E., Tuzun E., Dogrusoz U., Reviewer recommendation using software artifact traceability graphs, International Conference on Predictive Models and Data Analytics in Software Engineering, pp. 66-75, (2019)"
an automated extract method refactoring approach to correct the long method code smell,"Shahidi M., Ashtiani M., Zakeri-Nasrabadi M., An automated extract method refactoring approach to correct the long method code smell, Journal of Systems and Software, 187, (2022)"
e-cient and extensible security enforcement using dynamic data-ow analysis,"Chang W., Strei- B., Lin C., E-cient and extensible security enforcement using dynamic data-ow analysis, Proceedings of the 15th ACM conference on Computer and communications security, pp. 39-50, (2008)"
the elephant in the interpretability room: why use attention as explanation when we have saliency methods?,"Bastings J., Filippova K., The elephant in the interpretability room: Why use attention as explanation when we have saliency methods?, (2020)"
de-anonymizing programmers via code stylometry,"Caliskan Islam A., Harang R.E., Liu A., Narayanan A., Voss C.R., Yamaguchi F., Greenstadt R., De-anonymizing programmers via code stylometry, Proceedings of the 24th USENIX Security Symposium, pp. 255-270, (2015)"
2021 d2a: a dataset built for aibased vulnerability detection methods using differential analysis,"Zheng Y., Pujar S., Lewis B., Buratti L., Epstein E., Yang B., Laredo J., Morari A., Su Z., 2021 d2a: A dataset built for aibased vulnerability detection methods using differential analysis, Proceedings of the ACM/IEEE 43rd International Conference on Software Engineering: Software Engineering in Practice (ICSE-SEIP)"
improving text classification with weighted word embeddings via a multi-channel textcnn model,"Guo B., Zhang C., Liu J., Ma X., Improving text classification with weighted word embeddings via a multi-channel TextCNN model, Neurocomputing, 363, pp. 366-374, (2019)"
change impact graphs: determining the impact of prior codechanges,"German D.M., Hassan A.E., Robles G., Change impact graphs: Determining the impact of prior codechanges, Information and Software Technology, 51, 10, pp. 1394-1408, (2009)"
practical aggregation of semantical program properties for machine learning based optimization,"Namolaru M., Cohen A., Fursin G., Zaks A., Freund A., Practical aggregation of semantical program properties for machine learning based optimization, Proceedings of the 2010 International Conference on Compilers, Architectures and Synthesis for Embedded Systems, pp. 197-206, (2010)"
graphsearchnet: enhancing gnns via capturing global dependency for semantic code search. corr abs/2111.02671,"Liu S., Xie X., Ma L., Siow J., Liu Y., GraphSearchNet: Enhancing GNNs via capturing global dependency for semantic code search. CoRR abs/2111.02671, 2021"
assembler restructuring in fermat,"Ward M., Assembler restructuring in fermat, In: SCAM, pp. 147-156, (2013)"
a survey of emerging threats in cybersecurity,"Jang-Jaccard J., Nepal S., A survey of emerging threats in cybersecurity, J. Comput. System Sci., 80, 5, pp. 973-993, (2014)"
spatio-temporal context reduction: a pointer-analysis-based static approach for detecting useafter-free vulnerabilities,"Yan H., Sui Y., Chen S., Xue J., Spatio-Temporal Context Reduction: A Pointer-Analysis-Based Static Approach for Detecting Useafter-Free Vulnerabilities, Proceedings of the 40th International Conference on Software Engineering (ICSE ?18, (2018)"
cocosum: contextual code summarization with multi-relational graph neural network,"Wang Y., Shi E., Du L., Yang X., Hu Y., Han S., Zhang H., Zhang D., Cocosum: Contextual code summarization with multi-relational graph neural network, (2021)"
deep graph neural network-based spammer detection under the perspective of heterogeneous cyberspace,"Guo Z., Tang L., Guo T., Yu K., Alazab M., Shalaginov A., Deep Graph Neural Network-Based Spammer Detection Under The Perspective Of Heterogeneous Cyberspace, Future Generation Computer Systems, 117, 2021, pp. 205-218"
what is the long-term impact of changes,"Brudaru I.I., Zeller A., What is the long-term impact of changes, Proceedings of the 2008 International Workshop On Recommendation Systems for Software Engineering, pp. 30-32, (2008)"
software vulnerability detection via deep learning over disaggregated code graph representation. corr abs/2109.03341,"Zhuang Y., Suneja S., Thost V., Domeniconi G., Morari A., Laredo J., Software vulnerability detection via deep learning over disaggregated code graph representation. CoRR abs/2109.03341"
discovery of technical expertise from open source code repositories,"Venkataramani R., Gupta A., Asadullah A., Muddu B., Bhat V., Discovery of technical expertise from open source code repositories, WWW, pp. 97-98, (2013)"
towards a software vulnerability prediction model using traceable code patterns and software metrics,"Sultana K.Z., Towards a software vulnerability prediction model using traceable code patterns and software metrics, Proc. 32nd IEEE/ACM Int. Conf. Automated Softw. Eng. (ASE), pp. 1022-1025, (2017)"
learning to blame: localizing novice type errors with data-driven diagnosis,"Seidel E.L., Sibghat H., Chaudhuri K., Weimer W., Jhala R., Learning to blame: Localizing novice type errors with data-driven diagnosis, OOPSLA, pp. 601-6027, (2017)"
summarizing source code using a neural attention model,"Iyer S., Konstas I., Cheung A., Zettlemoyer L., Summarizing Source Code using a Neural Attention Model, Proceedings of the 54th Annual Meeting of the Association for Computational Linguistics, ACL 2016, 1, (2016)"
generative code modeling with graphs,"Brockschmidt M., Allamanis M., Gaunt A.L., Polozov O., Generative Code Modeling with Graphs, International Conference on Learning Representations, (2019)"
deepsim: deep semantic information-based automatic mandelbug classification,"Du X., Zheng Z., Xiao G., Zhou Z., Trivedi K.S., DeepSIM: Deep semantic information-based automatic mandelbug classification, IEEE Trans. Reliab., (2021)"
think locally,"Bettenburg N., Nagappan M., Hassan A.E., Think locally, act globally: Improving defect and effort prediction models, Proceedings of the 9th IEEE Working Conference On Mining Software Repositories, pp. 60-69, (2012)"
dos and don'ts of machine learning in computer security,"Arp D., Quiring E., Pendlebury F., Warnecke A., Pierazzi F., Wressnegger C., Cavallaro L., Rieck K., Dos and don'ts of machine learning in computer security, USENIX Security Symposium, (2022)"
sard: a software assurance reference dataset,"Sard: A Software Assurance Reference Dataset, (2021)"
generating long sequences with sparse transformers,"Child R., Gray S., Radford A., Sutskever I., Generating long sequences with sparse transformers, (2019)"
how can i use this method?,"Moreno L., Bavota G., Di Penta M., Oliveto R., Marcus A., How can i use this method?, Proceedings of the 37th IEEE/ACM International Conference on Software Engineering (ICSE'15), (2015)"
practical recommendations for gradient-based training of deep architectures,"Bengio Y., Practical recommendations for gradient-based training of deep architectures, Neural Networks: Tricks of the Trade, ser. LNCS., 7700, pp. 437-478, (2012)"
vulinoss: a dataset of security vulnerabilities in open-source systems,"Gkortzis A., Mitropoulos D., Spinellis D., Vulinoss: A dataset of security vulnerabilities in open-source systems, Proceedings of the 15th International Conference on Mining Software Repositories, MSR 2018, pp. 18-21, (2018)"
automatic inference of search patterns for taint-style vulnerabilities,"Yamaguchi F., Maier A., Gascon H., Rieck K., Automatic inference of search patterns for taint-style vulnerabilities, 2015 IEEE Symposium on Security and Privacy. IEEE, pp. 797-812, (2015)"
deepdelta: learning to repair compilation errors,"Mesbah A., Rice A., Johnston E., Glorioso N., Aftandilian E., DeepDelta: Learning to repair compilation errors, Foundations of Software Engineering. ACM, pp. 925-936, (2019)"
deepam: migrate apis with multi-modal sequence to sequence learning,"Gu X., Zhang H., Zhang D., Kim S., DeepAM: migrate APIs with multi-modal sequence to sequence learning, IJCAI'17 Proceedings of the 26th International Joint Conference on Artificial Intelligence, pp. 3675-3681, (2017)"
synthesizing benchmarks for predictive modeling,"Cummins C., Petoumenos P., Wang Z., Leather H., Synthesizing benchmarks for predictive modeling, 2017 IEEE/ACM International Symposium on Code Generation and Optimization (CGO), (2017)"
a static pre-filter for malicious javascript detection,"Fass A., Backes M., Stock B., Jstap: A static pre-filter for malicious javascript detection, Proceedings of the 35th Annual Computer Security Applications Conference, pp. 257-269, (2019)"
joern(open-source code querying engine for c/c++.),"Joern(Open-Source Code Querying Engine for C/C++.), (2019)"
decoupled weight decay regularization,"Loshchilov I., Hutter F., Decoupled Weight Decay Regularization, 7th International Conference on Learning Representations, ICLR 2019, (2019)"
on-the-fly operation batching in dynamic computation graphs,"Neubig G., Goldberg Y., Dyer C., On-The-fly operation batching in dynamic computation graphs, Advances in Neural Information Processing Systems., pp. 3971-3981, (2017)"
stackoverflow and github: associations between software development and crowdsourced knowledge,"Vasilescu B., Filkov V., Serebrenik A., Stackoverflow and github: Associations between software development and crowdsourced knowledge, 2013 International Conference on Social Computing., pp. 188-195, (2013)"
bridge text and knowledge by learning multi-prototype entity mention embedding,"Cao Y., Huang L., Ji H., Chen X., Li J., Bridge text and knowledge by learning multi-prototype entity mention embedding, Proceedings of the 55th Annual Meeting of the Association for Computational Linguistics, pp. 1623-1633, (2017)"
syntax-directed variational autoencoder for structured data,"DAI H., TIAN Y., DAI B., SKIENA S., SONG L., Syntax-directed variational autoencoder for structured data, Proceedings of the 6th International Conference on Learning Representations, (2018)"
manual of environmental microbiology,"Manual of Environmental Microbiology, (2016)"
cast: enhancing code summarization with hierarchical splitting and reconstruction of abstract syntax trees,"Shi E., Et al., Cast: Enhancing code summarization with hierarchical splitting and reconstruction of abstract syntax trees, (2021)"
klee: unassisted and automatic generation of high-coverage tests for complex systems programs,"Cadar C., Dunbar D., Engler D., KLEE: Unassisted and Automatic Generation of High-Coverage Tests for Complex Systems Programs, Proceedings of the 8th USENIX Conference on Operating Systems Design and Implementation (San Diego, California) (OSDI'08), pp. 209-224, (2008)"
autonomously generating hints by inferring problem solving policies,"PIECH C., SAHAMI M., HUANG J., GUIBAS L., Autonomously generating hints by inferring problem solving policies, Proceedings of the Second ACM Conference on Learning @ Scale, pp. 195-204, (2015)"
east: an efficient and accurate scene text detector,"Zhou X., Yao C., Wen H., Wang Y., Zhou S., He W., Liang J., East: An efficient and accurate scene text detector, Proceedings of the IEEE conference on Computer Vision and Pattern Recognition, pp. 5551-5560, (2017)"
class imbalance revisited: a new experimental setup to assess the performance of treatment methods,"Prati R.C., Batista G.E., Silva D.F., Class imbalance revisited: A new experimental setup to assess the performance of treatment methods, Knowl. Inf. Syst., 45, 1, pp. 247-270, (2015)"
2021 vuldeelocator: a deep learning-based fine-grained vulnerability detector ieee transactions on dependable and secure computing,"Li Z., Zou D., Xu S., Chen Z., Zhu Y., Jin H., 2021 VulDeeLocator: A Deep Learning-based Fine-grained Vulnerability Detector IEEE Transactions on Dependable and Secure Computing, 1, 2021, pp. 1-1"
value-flow-based demand-driven pointer analysis for c and c++,"Sui Y., Xue J., Value-flow-based demand-driven pointer analysis for C and C++, IEEE Trans Softw Eng, 46, 8, pp. 812-835, (2020)"
software fault prediction metrics: a systematic literature review,"Radjenovic D., Hericko M., Torkar R., Zivkovic A., Software fault prediction metrics: A systematic literature review, Inf. Softw. Technol., 55, 8, pp. 1397-1418, (2013)"
2020. deep learning based vulnerability detection: are we there yet?,"Chakraborty S., Krishna R., Ding Y., Ray B., 2020. Deep Learning Based Vulnerability Detection: Are We There Yet?"
log2vec: a heterogeneous graph embedding based approach for detecting cyber threats within enterprise,"Liu F., Wen Y., Zhang D., Jiang X., Xing X., Meng D., Log2vec: A heterogeneous graph embedding based approach for detecting cyber threats within enterprise, Proceedings of the 2019 ACM SIGSAC Conference on Computer and Communications Security (CCS). 1777-1794, (2019)"
a survey on software smells,"Sharma T., Spinellis D., A survey on software smells, Journal of Systems and Software, 138, pp. 158-173, (2018)"
autoencoder constrained clustering with adaptive neighbors,"Li X., Zhang R., Wang Q., Zhang H., Autoencoder constrained clustering with adaptive neighbors, IEEE Trans. Neural Netw. Learn. Syst., 32, 1, pp. 443-449, (2021)"
sequence-to-sequence learning as beamsearch optimization,"Wiseman S., Rush A.M., Sequence-to-sequence learning as beamsearch optimization, Empirical Methods in Natural Language Processing (EMNLP), (2016)"
an initial study on the use of execution complexity metrics as indicators of software vulnerabilities,"Shin Y., Williams L., An initial study on the use of execution complexity metrics as indicators of software vulnerabilities, Proceedings of the SESS, Honolulu, HI, USA, pp. 1-7, (2011)"
predicting bug-fix time: using standard versus topic-based text categorization techniques,"Ardimento P., Bilancia M., Monopoli S., Predicting Bug-Fix Time: Using Standard Versus Topic-Based Text Categorization Techniques, Discovery Science -19th International Conference, Ds 2016, 9956, pp. 167-182, (2016)"
automated vulnerability analysis: leveraging control flow for evolutionary input crafting,"Sparks S., Embleton S., Cunningham R., Zou C.C., Automated vulnerability analysis: Leveraging control flow for evolutionary input crafting, 23rd Annual Computer Security Applications Conference (ACSAC 2007), December 10-14, 2007, Miami Beach, Florida, USA, pp. 477-486, (2007)"
microsoft. prefast analysis tool,"Microsoft. PREfast Analysis Tool, (2012)"
a human study of comprehension and code summarization,"Stapleton S., Et al., A human study of comprehension and code summarization, Proc. 28th Int. Conf. Prog. Comprehension, pp. 2-13, (2020)"
apache log4j,"Apache Log4j, (2022)"
profiling developer expertise across software communities with heterogeneous information network analysis,"Yan J., Sun H., Wang X., Liu X., Song X., Profiling Developer Expertise Across Software Communities With Heterogeneous Information Network Analysis, Proceedings of the Tenth Asia-Pacific Symposium on Internetware, pp. 1-9, (2018)"
dlfinder: characterizing and detecting duplicate logging code smells,"Li Z., Chen T., Yang J., Shang W., DLFinder: Characterizing and detecting duplicate logging code smells, 2019 IEEE/ACM 41st International Conference on Software Engineering (ICSE). 152-163, (2019)"
abstractive sentence summarization with attentive recurrent neural networks,"Chopra Sumit, Auli Michael, Rush Alexander M, Abstractive sentence summarization with attentive recurrent neural networks, Proceedings of the 2016 Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies, pp. 93-98, (2016)"
leveraging label information in representation learning for multi-label text classification,"Jiayu W., Leveraging Label Information in Representation Learning for Multi-label Text Classification, (2019)"
cross-lingual word embeddings for low-resource language modeling,"Adams O., Makarucha A., Neubig G., Bird S., Cohn T., Cross-lingual word embeddings for low-resource language modeling, Proceedings of the 15th Conference of the European Chapter of the Association for Computational Linguistics: Volume 1, Long Papers, pp. 937-947, (2017)"
ramsey vs. lexicographic termination proving,"Cook B., See A., Zuleger F., Ramsey vs. Lexicographic Termination Proving, Tools and Algorithms for the Construction and Analysis of Systems-19th International Conference, TACAS 2013, 7795, pp. 47-61, (2013)"
graph-based bag-of-words for classification,"Silva F.B., Werneck R.D.O., Goldenstein S., Tabbone S., Torres R.D.S., Graph-based bag-of-words for classification, Pattern Recognition, 74, pp. 266-285, (2018)"
chucky: exposing missing checks in source code for vulnerability discovery,"Yamaguchi F., Wressnegger C., Gascon H., Rieck K., Chucky: Exposing missing checks in source code for vulnerability discovery, Proceedings of the 2013 ACM SIGSAC Conference on Computer & Communications Security (CCS’13), pp. 499-510, (2013)"
learning to rank relevant files for bug reports using domain knowledge,"Ye X., Bunescu R., Liu C., Learning to rank relevant files for bug reports using domain knowledge, Proceedings of the 22nd Acm Sigsoft International Symposium on Foundations of Software Engineering., pp. 689-699, (2014)"
katana: dual slicing-based context for learning bug fixes,"Sintaha M., Nashid N., Mesbah A., Katana: Dual slicing-based context for learning bug fixes, (2022)"
a novel multi-module integrated intrusion detection system for high-dimensional imbalanced data,"Cui J., Zong L., Xie J., Tang M., A novel multi-module integrated intrusion detection system for high-dimensional imbalanced data, Applied Intelligence, 53, 1, pp. 272-288, (2023)"
simple or complex? together for a more accurate just-in-time defect predictor,"Zhou X., Han D., Lo D., Simple or complex? together for a more accurate just-in-time defect predictor, ICPC, pp. 229-240, (2022)"
automatically finding patches using genetic programming,"Weimer W., Nguyen T., Le Goues C., Forrest S., Automatically finding patches using genetic programming, 2009 IEEE 31st International Conference on Software Engineering. IEEE, pp. 364-374, (2009)"
adadelta: an adaptive learning rate method,"Zeiler M.D., ADADELTA: An adaptive learning rate method, . Arxiv, 1212, (2012)"
on the evaluation of neural code summarization,"Shi E., Wang Y., Du L., Chen J., Han S., Zhang H., Zhang D., Sun H., On the evaluation of neural code summarization, Proceedings of the 44th International Conference on Software Engineering, pp. 1597-1608, (2022)"
mining file histories: should we consider branches?,"Kovalenko V., Palomba F., Bacchelli A., Mining file histories: Should we consider branches?, 2018 33rd IEEE/ACM International Conference on Automated Software Engineering (ASE), pp. 202-213, (2018)"
a comprehensive study on security bug characteristics,"Wei Y., Sun X., Bo L., Cao S., Xia X., Li B., A comprehensive study on security bug characteristics, J. Softw. Evol. Process., 33, 10, (2021)"
a novel method for early software quality prediction based on support vector machine,"Xing F., Guo P., Lyu M.R., A novel method for early software quality prediction based on support vector machine, 16th IEEE International Symposium on Software Reliability Engineering, ISSRE’05, (2005)"
long-span program behavior modeling and attack detection,"Shu X., Yao D., Ramakrishnan N., Jaeger T., Long-span program behavior modeling and attack detection, Acm Trans. Privacy Secur, 20, 4, pp. 1-28, (2017)"
attention is not explanation,"Jain S., Wallace B.C., Attention is not explanation, (2019)"
on the significance of category prediction for code-comment synchronization,"Zhen Y., Keung J.W., Xiao Y., Yan X., Zhi J., Zhang J., On the significance of category prediction for code-comment synchronization, ACM Trans. Softw. Eng. Methodol., (2022)"
premise selection for theorem proving by deep graph embedding,"Wang M., Tang Y., Wang J., Deng J., Premise selection for theorem proving by deep graph embedding, Advances in Neural Information Processing Systems, pp. 2783-2793, (2017)"
