Title,Full Reference
what makes a good code example: a study of programming q&a in stackoverflow,"Nasehi S. M., Sillito J., Maurer F., Burns C., What makes a good code example: A study of programming q&a in stackoverflow, Proceedings of the 2012 28th IEEE International Conference on Software Maintenance, pp. 25-34, (2012)"
slither: a static analysis framework for smart contracts,"Feist J., Grieco G., Groce A., Slither: A static analysis framework for smart contracts, IEEE/ACM 2Nd International Workshop on Emerging Trends in Software Engineering for Blockchain (WETSEB), pp. 8-15, (2019)"
vuldeepecker: a deep learningbased system for vulnerability detection,"Li Z., Zou D., Xu S., Ou X., Jin H., Wang S., Deng Z., Zhong Y., VulDeePecker: A deep learningbased system for vulnerability detection, 25th Annual Network and Distributed System Security Symposium, Ndss 2018, (2018)"
a machine learning approach to classify security patches into vulnerability types,"Wang X., Wang S., Sun K., Batcheller A., Jajodia S., A machine learning approach to classify security patches into vulnerability types, 2020 Ieee Conference on Communications and Network Security (CNS), pp. 1-9, (2020)"
vulseeker: a semantic learning based vulnerability seeker for cross-platform binary,"Gao J., Yang X., Fu Y., Jiang Y., Sun J., VulSeeker: A semantic learning based vulnerability seeker for cross-platform binary, 2018 33rd IEEE/ACM International Conference on Automated Software Engineering (ASE), pp. 896-899, (2018)"
"end-to-end prediction of bufer over runs from raw source code via neural memory networks""","Choi M., Jeong S., Oh H., Choo J., End-to-end prediction of bufer over runs from raw source code via neural memory networks"""
research and implementation of web application system vulnerability location technology,"Zheng L., Yuan H., Peng X., Zhu G., Guo Y., Deng G., Research and implementation of web application system vulnerability location technology, The International Conference on Cyber Security Intelligence and Analytics, pp. 937-944, (2019)"
ac/ccc code vulnerability dataset with code changes and cve summaries,"Fan J., Li Y., Wang S., Nguyen T.N., AC/CCC code vulnerability dataset with code changes and CVE summaries, Proc. 17th Int. Conf. Mining Softw. Repositories, pp. 508-512, (2020)"
codacy security scan,"Codacy Security Scan, (2021)"
open source security and risk analysis report,"Open Source Security and Risk Analysis Report, (2021)"
practical evaluation of static analysis tools for cryptography: benchmarking method and case study,"Braga A., Dahab R., Antunes N., Laranjeiro N., Vieira M., Practical evaluation of static analysis tools for cryptography: Benchmarking method and case study, 2017 Ieee 28th International Symposium on Software Reliability Engineering (ISSRE). Ieee, pp. 170-181, (2017)"
2019 cwe top 25 most dangerous software errors,"2019 CWE Top 25 Most Dangerous Software Errors, (2019)"
towards a deep learning model for vulnerability detection on web application variants,"Fidalgo A., Medeiros I., Antunes P., Neves N., Towards a deep learning model for vulnerability detection on web application variants, 2020 IEEE International Conference on Software Testing, Verification and Validation Workshops (ICSTW), pp. 465-476, (2020)"
acgvd: vulnerability detection based on comprehensive graph via graph neural network with attention,"Li M., Li C., Li S., Wu Y., Zhang B., Wen Y., ACGVD: Vulnerability detection based on comprehensive graph via graph neural network with attention, International Conference on Information and Communications Security, pp. 243-259, (2021)"
an automated vulnerability detection and remediation method for software security,"Jurn J., Kim T., Kim H., An automated vulnerability detection and remediation method for software security, Sustainability, 10, 5, (2018)"
a survey on similarity measures in text mining,"Vijaymeena M.K., Kavitha K., A survey on similarity measures in text mining, Machine Learning and Applications: An International Journal, 3, 2, pp. 19-28, (2016)"
cvefixes: automated collection of vulnerabilities and their fixes from open-source software,"Bhandari G., Naseer A., Moonen L., Cvefixes: Automated collection of vulnerabilities and their fixes from open-source software, Proceedings of the 17th International Conference on Predictive Models and Data Analytics in Software Engineering, pp. 30-39, (2021)"
a taxonomy of causes of software vulnerabilities in internet software,"Piessens F., A taxonomy of causes of software vulnerabilities in Internet software, (2002)"
the cert guide to coordinated vulnerability disclosure,"Householder A.D., Wassermann G., Manion A., King C., The cert guide to coordinated vulnerability disclosure, (2017)"
peculiar: smart contract vulnerability detection based on crucial data flow graph and pre-training techniques,"Wu H., Zhang Z., Wang S., Lei Y., Lin B., Qin Y., Zhang H., Mao X., Peculiar: Smart contract vulnerability detection based on crucial data flow graph and pre-Training techniques, 2021 IEEE 32nd International Symposium on Software Reliability Engineering (ISSRE). IEEE, pp. 378-389, (2021)"
the beauty and the beast: vulnerabilities in red hat’s packages,"Neuhaus S., Zimmermann T., The beauty and the beast: Vulnerabilities in red hat’s packages, Proceedings of the 2009 USENIX Annual Technical Conference (USENIX ATC’09), (2009)"
all about whitesource's 2021 open source security vulnerabilities report,"All about Whitesource's 2021 Open Source Security Vulnerabilities Report, (2021)"
the owasp benchmark for security automation,"The OWASP Benchmark for Security Automation, Version, 1, (2014)"
discovering software vulnerabilities using data-flow analysis and machine learning,"Kronjee J., Hommersom A., Vranken H., Discovering software vulnerabilities using data-flow analysis and machine learning, Proceedings of The 13th International Conference on Availability, Reliability and Security, Ser. ARES 2018, (2018)"
learning to predict severity of software vulnerability using only vulnerability description,"Han Z., Li X., Xing Z., Et al., Learning to predict severity of software vulnerability using only vulnerability description, 2017 IEEE International Conference on Software Maintenance and Evolution (ICSME)[C], Piscataway, NJ, pp. 125-136, (2017)"
common vulnerabilities and exposures (cve),"Common Vulnerabilities and Exposures (CVE), (2019)"
identifying vulnerable iot applications using deep learning,"Naeem H., Alalfi M.H., Identifying Vulnerable IoT Applications using Deep Learning, 2020 IEEE 27th International Conference on Software Analysis, Evolution and Reengineering (SANER)., pp. 582-586, (2020)"
multi-granularity detector for vulnerability fixes,"Nguyen T.G., Le-Cong T., Kang H.J., Widyasari R., Yang C., Zhao Z., Xu B., Zhou J., Xia X., Hassan A.E., Et al., Multi-granularity detector for vulnerability fixes, IEEE Transactions on Software Engineering, (2023)"
joint prediction of multiple vulnerability characteristics through multi-task learning,"Gong X., Xing Z., Li X., Feng Z., Han Z., Joint prediction of multiple vulnerability characteristics through multi-task learning, 24th International Conference on Engineering of Complex Computer Systems, ICECCS 2019, pp. 31-40, (2019)"
coverity static application security testing: tool set for static code analysis,"Coverity Static Application Security Testing: Tool Set for Static Code Analysis, (2019)"
a survey on malware detection using data mining techniques,"Ye Y., Li T., Adjeroh D., Sitharama Iyengar S., A survey on malware detection using data mining techniques, ACM Computing Surveys (CSUR), (2017)"
metric learning for adversarial robustness,"Mao C., Zhong Z., Yang J., Vondrick C., Ray B., Metric learning for adversarial robustness, Proc. Adv. Neural Inf. Process. Syst. 32, Annu. Conf. Neural Inf. Process. Syst. (NeurIPS), pp. 478-489, (2019)"
sysevr: a framework for using deep learning to detect software vulnerabilities,"Li Z., Zou D., Xu S., Jin H., Zhu Y., Chen Z., SySeVR: A framework for using deep learning to detect software vulnerabilities, IEEE Trans. Dependable Secure Comput., (2021)"
