Cluster ID,Included/Excluded
-1,Include
0,Exclude
1,Exclude
2,Exclude
3,Exclude
4,Exclude
5,Exclude
6,Exclude
7,Exclude
8,Exclude
9,Include
10,Exclude
11,Exclude
12,Exclude
13,Exclude
14,Include
15,Include
16,Include
17,Include
18,Include
19,Exclude
20,Include
21,Exclude
22,Include
23,Exclude
24,Exclude
25,Exclude
26,Exclude
27,Include
28,Include
29,Include
30,Include
31,Include
32,Include
33,Include
34,Include
35,Include
36,Exclude
37,Include
38,Exclude
39,Exclude
40,Exclude
41,Include
42,Include
43,Exclude
44,Include
45,Include
46,Exclude
47,Exclude
48,Exclude
49,Exclude
50,Exclude
51,Exclude
52,Exclude
53,Include
54,Include
55,Include
56,Include
57,Exclude
58,Exclude
59,Exclude
60,Exclude
61,Exclude
62,Include
63,Include
