Title,Full Reference,Inclusion (Title),Inclusion (Abstract)
learning natural coding conventions,"Allamanis M., Barr E.T., Bird C., Sutton C., Learning natural coding conventions, Foundations of Software Engineering (FSE), (2014)",Include,Exclude
compilation of domestic and international information leakage cases in 2018[eb/ol],"Security Guest R., Compilation of domestic and international information leakage cases in 2018[EB/OL], (2023)",Exclude,""
adapting meta knowledge with heterogeneous information network for covid-19 themed malicious repository detection,"Qian Y., Zhang Y., Ye Y., Zhang C., Adapting Meta Knowledge with Heterogeneous Information Network for COVID-19 Themed Malicious Repository Detection, IJCAI, (2021)",Exclude,""
assessing technical debt by identifying design flaws in software systems,"Marinescu R., Assessing technical debt by identifying design flaws in software systems, IBM J. Res. Dev., 56, 5, (2012)",Exclude,""
predicting program properties from ”big code”,"Raychev V., Vechev M., Krause A., Predicting program properties from ”Big Code”, SIGPLAN Not., 50, 1, pp. 111-124, (2015)",Include,Include
the perceptron: a probabilistic model for information storage and organization in the brain,"Rosenblatt F., The perceptron: a probabilistic model for information storage and organization in the brain, Psychol Rev, 65, 6, (1958)",Exclude,""
asteria: deep learning-based ast-encoding for crossplatform binary code similarity detection,"Yang S., Cheng L., Zeng Y., Lang Z., Zhu H., Shi Z., Asteria: Deep learning-based ast-encoding for crossplatform binary code similarity detection, CoRR, (2021)",Exclude,""
practical bayesian optimization of machine learning algorithms,"Snoek J., Larochelle H., Adams R.P., Practical bayesian optimization of machine learning algorithms, Advances in Neural Information Processing Systems, (2012)",Exclude,""
statically-directed dynamic automated test generation,"Babic D., Martignoni L., McCamant S., Song D., Statically-directed dynamic automated test generation, Proceedings of the 2011 International Symposium on Software Testing and Analysis, pp. 12-22, (2011)",Exclude,""
reviewer recommendation using software artifact traceability graphs,"Sulun E., Tuzun E., Dogrusoz U., Reviewer recommendation using software artifact traceability graphs, International Conference on Predictive Models and Data Analytics in Software Engineering, pp. 66-75, (2019)",Include,Include
an automated extract method refactoring approach to correct the long method code smell,"Shahidi M., Ashtiani M., Zakeri-Nasrabadi M., An automated extract method refactoring approach to correct the long method code smell, Journal of Systems and Software, 187, (2022)",Exclude,""
e-cient and extensible security enforcement using dynamic data-ow analysis,"Chang W., Strei- B., Lin C., E-cient and extensible security enforcement using dynamic data-ow analysis, Proceedings of the 15th ACM conference on Computer and communications security, pp. 39-50, (2008)",Exclude,""
the elephant in the interpretability room: why use attention as explanation when we have saliency methods?,"Bastings J., Filippova K., The elephant in the interpretability room: Why use attention as explanation when we have saliency methods?, (2020)",Exclude,""
de-anonymizing programmers via code stylometry,"Caliskan Islam A., Harang R.E., Liu A., Narayanan A., Voss C.R., Yamaguchi F., Greenstadt R., De-anonymizing programmers via code stylometry, Proceedings of the 24th USENIX Security Symposium, pp. 255-270, (2015)",Exclude,""
2021 d2a: a dataset built for aibased vulnerability detection methods using differential analysis,"Zheng Y., Pujar S., Lewis B., Buratti L., Epstein E., Yang B., Laredo J., Morari A., Su Z., 2021 d2a: A dataset built for aibased vulnerability detection methods using differential analysis, Proceedings of the ACM/IEEE 43rd International Conference on Software Engineering: Software Engineering in Practice (ICSE-SEIP)",Exclude,""
improving text classification with weighted word embeddings via a multi-channel textcnn model,"Guo B., Zhang C., Liu J., Ma X., Improving text classification with weighted word embeddings via a multi-channel TextCNN model, Neurocomputing, 363, pp. 366-374, (2019)",Exclude,""
change impact graphs: determining the impact of prior codechanges,"German D.M., Hassan A.E., Robles G., Change impact graphs: Determining the impact of prior codechanges, Information and Software Technology, 51, 10, pp. 1394-1408, (2009)",Exclude,""
practical aggregation of semantical program properties for machine learning based optimization,"Namolaru M., Cohen A., Fursin G., Zaks A., Freund A., Practical aggregation of semantical program properties for machine learning based optimization, Proceedings of the 2010 International Conference on Compilers, Architectures and Synthesis for Embedded Systems, pp. 197-206, (2010)",Include,Exclude
graphsearchnet: enhancing gnns via capturing global dependency for semantic code search. corr abs/2111.02671,"Liu S., Xie X., Ma L., Siow J., Liu Y., GraphSearchNet: Enhancing GNNs via capturing global dependency for semantic code search. CoRR abs/2111.02671, 2021",Include,Exclude (Pre-print)
assembler restructuring in fermat,"Ward M., Assembler restructuring in fermat, In: SCAM, pp. 147-156, (2013)",Exclude,""
a survey of emerging threats in cybersecurity,"Jang-Jaccard J., Nepal S., A survey of emerging threats in cybersecurity, J. Comput. System Sci., 80, 5, pp. 973-993, (2014)",Exclude,""
spatio-temporal context reduction: a pointer-analysis-based static approach for detecting useafter-free vulnerabilities,"Yan H., Sui Y., Chen S., Xue J., Spatio-Temporal Context Reduction: A Pointer-Analysis-Based Static Approach for Detecting Useafter-Free Vulnerabilities, Proceedings of the 40th International Conference on Software Engineering (ICSE ?18, (2018)",Include,Include
cocosum: contextual code summarization with multi-relational graph neural network,"Wang Y., Shi E., Du L., Yang X., Hu Y., Han S., Zhang H., Zhang D., Cocosum: Contextual code summarization with multi-relational graph neural network, (2021)",Include,Exclude (Pre-print)
deep graph neural network-based spammer detection under the perspective of heterogeneous cyberspace,"Guo Z., Tang L., Guo T., Yu K., Alazab M., Shalaginov A., Deep Graph Neural Network-Based Spammer Detection Under The Perspective Of Heterogeneous Cyberspace, Future Generation Computer Systems, 117, 2021, pp. 205-218",Exclude,""
what is the long-term impact of changes,"Brudaru I.I., Zeller A., What is the long-term impact of changes, Proceedings of the 2008 International Workshop On Recommendation Systems for Software Engineering, pp. 30-32, (2008)",Exclude,""
