Title Full,URL,PDF ID,Inclusion,Criteria,Comment
" Raychev V., Vechev M., Krause A., Predicting program properties from ”Big Code”, SIGPLAN Not., 50, 1, pp. 111-124, (2015)",https://www.google.com/search?q=predicting program properties from ”big code”,sb-001,Include,"I1.1,I1.2",
" Brockschmidt M., Allamanis M., Gaunt A.L., Polozov O., Generative Code Modeling with Graphs, International Conference on Learning Representations, (2019)",https://www.google.com/search?q=generative code modeling with graphs,sb-004,Include,I1.1,
" DAI H., TIAN Y., DAI B., SKIENA S., SONG L., Syntax-directed variational autoencoder for structured data, Proceedings of the 6th International Conference on Learning Representations, (2018)",https://www.google.com/search?q=syntax-directed variational autoencoder for structured data,sb-005,Exclude,E1.9,
" Shi E., Et al., Cast: Enhancing code summarization with hierarchical splitting and reconstruction of abstract syntax trees, (2021)",https://www.google.com/search?q=cast: enhancing code summarization with hierarchical splitting and reconstruction of abstract syntax trees,sb-006,Include,,
" Sparks S., Embleton S., Cunningham R., Zou C.C., Automated vulnerability analysis: Leveraging control flow for evolutionary input crafting, 23rd Annual Computer Security Applications Conference (ACSAC 2007), December 10-14, 2007, Miami Beach, Florida, USA, pp. 477-486, (2007)",https://www.google.com/search?q=automated vulnerability analysis: leveraging control flow for evolutionary input crafting,sb-008,Exclude,E1.3,
" Yan J., Sun H., Wang X., Liu X., Song X., Profiling Developer Expertise Across Software Communities With Heterogeneous Information Network Analysis, Proceedings of the Tenth Asia-Pacific Symposium on Internetware, pp. 1-9, (2018)",https://www.google.com/search?q=profiling developer expertise across software communities with heterogeneous information network analysis,sb-009,Include,"I1.1,I1.2",
" Liu S., Gao C., Chen S., Lun Yiu N., Liu Y., Atom: Commit message generation based on abstract syntax tree and hybrid ranking, IEEE Transactions on Software Engineering, (2020)",https://www.google.com/search?q=atom: commit message generation based on abstract syntax tree and hybrid ranking,sb-010,Include,,
" Wan Y., Zhao Z., Yang M., Xu G., Ying H., Wu J., Yu P.S., Improving automatic source code summarization via deep reinforcement learning, Ase, pp. 397-407, (2018)",https://www.google.com/search?q=improving automatic source code summarization via deep reinforcement learning,sb-011,Include,,
" Lin C., Ouyang Z., Zhuang J., Chen J., Li H., Wu R., Improving code summarization with block-wise abstract syntax tree splitting, 2021 IEEE/ACM 29th International Conference on Program Comprehension, pp. 184-195, (2021)",https://www.google.com/search?q=improving code summarization with block-wise abstract syntax tree splitting,sb-012,Include,,
" Lyu C., Wang R., Zhang H., Zhang H., Hu S., Embedding API dependency graph for neural code generation, Empirical Softw. Eng., 26, 4, pp. 1-51, (2021)",https://www.google.com/search?q=embedding api dependency graph for neural code generation,sb-015,Include,,
" Habib A., Pradel M., Is this class thread-safe? Inferring documentation using graph-based learning, ASE, pp. 41-52, (2018)",https://www.google.com/search?q=is this class thread-safe? inferring documentation using graph-based learning,sb-018,Include,"I1.1,I1.2",
" Yin P., Neubig G., Allamanis M., Brockschmidt M., Gaunt A.L., Learning to Represent Edits, International Conference on Learning Representations, (2019)",https://www.google.com/search?q=learning to represent edits,sb-019,Include,,
" Tang Z., Shen X., Li C., Ge J., Huang L., Zhu Z., Luo B., AST-trans: Code summarization with efficient tree-structured attention, 44th IEEE/ACM 44th International Conference on Software Engineering, ICSE 2022, pp. 150-162, (2022)",https://www.google.com/search?q=ast-trans: code summarization with efficient tree-structured attention,sb-020,Include,,
" Weimer W., Necula G.C., Mining temporal specifications for error detection, TACAS, pp. 461-476, (2005)",https://www.google.com/search?q=mining temporal specifications for error detection,sb-021,Exclude,E1.1,
" Zhang Y., Fan Y., Hou S., Ye Y., Xiao X., Li P., Shi C., Zhao L., Xu S., Cyber-Guided Deep Neural Network For Malicious Repository Detection In Github, 2020 IEEE International Conference on Knowledge Graph (ICKG), pp. 458-465, (2020)",https://www.google.com/search?q=cyber-guided deep neural network for malicious repository detection in github,sb-022,Include,,
" Alon U., Zilberstein M., Levy O., A general path-based representation for predicting program properties., (2018)",https://www.google.com/search?q=a general path-based representation for predicting program properties.,sb-023,Include,,
" Liang H., Yang Y., Sun L., Jiang L., JSAC: a novel framework to detect malicious javascript via CNNs over AST and CFG, 2019 International Joint Conference on Neural Networks (IJCNN), pp. 1-8, (2019)",https://www.google.com/search?q=jsac: a novel framework to detect malicious javascript via cnns over ast and cfg,sb-025,Include,I1.1,
" Ghaffarian S.M., Shahriari H.R., Neural software vulnerability analysis using rich intermediate graph representations of programs, Information Sciences, 553, pp. 189-207, (2021)",https://www.google.com/search?q=neural software vulnerability analysis using rich intermediate graph representations of programs,sb-026,Include,I1.1,
