Title,Abstract
Dynamic attention augmented graph network for video accident anticipation,"Accident anticipation (or the prediction of abnormal events in general) aims to forecast accidents before they occur by assessing risks based on the preceding frames in videos. The risk assessment heavily relies on understanding the semantics of the scene context and predicting the interactions among the involved subjects. Indeed, the comprehensive utilization of spatial relationships among the subjects of immediate interest in a single frame and temporal dependencies across consecutive frames is crucial for video accident anticipation. To address this challenge, we propose a novel approach called Dynamic Attention Augmented Graph Network (DAA-GNN), which leverages underlying spatial cues and models’ relationships among detected subjects of immediate interest. Specifically, our approach employs a graph neural network that is enhanced by global context clues, allowing effective message propagation and the discovery of interactions among the subjects of interest in the scene. The DAA-GNN includes a temporal attention module designed to identify long-term dependencies along the temporal axis, contributing to an end-to-end deep network solution for accurate accident anticipation. We extensively evaluate our method on the publicly available Dashcam Accident Dataset (DAD) and Epic Fail (EF) datasets, by conducting comprehensive experiments to assess its performance. The results unequivocally demonstrate that our method outperforms the state-of-the-art accident anticipation methods. Our source code and datasets are available at https://github.com/ZxyLinkstart/DAA-GNN. © 2023 Elsevier Ltd"
Parking Prediction in Smart Cities: A Survey,"With the growing number of cars in cities, smart parking is gradually becoming a strategic issue in building a smart city. As the precondition in smart parking, accurate parking prediction can reduce the time drivers spend searching for parking spaces and relieve traffic congestion. Meanwhile, VANET and the Internet-of-things (IoT) are the key elements of the current intelligent transportation system. With the IoT devices based on VANET becoming more extensively employed, a large amount of parking data is generated every day, and various methods are proposed for parking prediction, therefore, it is time to systematically summarize the parking prediction issues and the state-of-the-art prediction methods. In this survey, we first provide a comprehensive review of the existing methods used for parking prediction ranging from conventional statistical methods to the latest graph neural network methods. Then, we classify a variety of parking problems such as parking availability prediction, parking behavior prediction, and parking demand prediction. We also compile all the evaluation metrics, open data, and open-source code of the surveyed literature. Finally, we present the challenges and future directions of the parking prediction technique. As far as we know, this is the first survey exploring parking prediction methods, which will be of interest to both researchers and practitioners engaging in intelligent transportation systems (ITS) and smart cities.  © 2000-2011 IEEE."
HiGRN: A Hierarchical Graph Recurrent Network for Global Sea Surface Temperature Prediction,"Sea surface temperature (SST) is one critical parameter of global climate change, and accurate SST prediction is important to various applications, e.g., weather forecasting, fishing directions, and disaster warnings. The global ocean system is unified and complex, and the SST patterns in different oceanic regions are highly diverse and correlated. However, existing data-driven SST prediction methods mainly consider the local patterns within a certain oceanic region, e.g., El Nino region and the Black sea. It is challenging but necessary to model the global SST correlations rather than that in a specific region to enhance the prediction accuracy of SST. In this work, we proposed a new method called Hierarchical Graph Recurrent Network (HiGRN) to address the issue. First, to learn the dynamic and diverse local SST patterns of specific locations, we design an adaptive node embedding with self-learned parameters to learn various SST patterns. Then we develop a hierarchical cluster generator to aggregate the locations with similar patterns into regional clusters and utilize a graph convolution network to learn the spatial correlations among these clusters. Finally, we introduce a multi-level attention mechanism to fuse the local patterns and regional correlations, and the output is fed into a recurrent network to achieve SST predictions. Extensive experiments on two real-world datasets show that our method largely outperforms the state-of-the-art SST prediction methods. The source code is available at https://github.com/Neoyanghc/HiGRN.  © 2023 Copyright held by the owner/author(s). Publication rights licensed to ACM."
Crime prediction with graph neural networks and multivariate normal distributions,"We study high-resolution crime prediction and introduce a new generative model applicable to any spatiotemporal data with graph convolutional gated recurrent units (Graph-ConvGRU) and multivariate Gaussian distributions. We introduce a subdivision algorithm and create a graph representation to tackle the sparsity and complexity problem in high-resolution spatiotemporal data. By leveraging the flexible structure of graph representation, we model the spatial, temporal, and categorical relations of crime events and produce state vectors for each region. We create a multivariate probability distribution from the state vectors and train the distributions by minimizing the KL divergence between the generated and the actual distribution of the crime events. After creating the distributions, crime can be predicted in any resolution as the first time in the literature. In our experiments on real-life and synthetic datasets, our model obtains the best score with respect to the state-of-the-art models with statistically significant improvements. Hence, our model is not only generative but also precise. We also provide the source code of our algorithm for reproducibility. © 2022, The Author(s), under exclusive licence to Springer-Verlag London Ltd., part of Springer Nature."
Automated Dilated Spatio-Temporal Synchronous Graph Modeling for Traffic Prediction,"Accurate traffic prediction is a challenging task in intelligent transportation systems because of the complex spatio-temporal dependencies in transportation networks. Many existing works utilize sophisticated temporal modeling approaches to incorporate with graph convolution networks (GCNs) for capturing short-term and long-term spatio-temporal dependencies. However, these separated modules with complicated designs could restrict effectiveness and efficiency of spatio-temporal representation learning. Furthermore, most previous works adopt the fixed graph construction methods to characterize the global spatio-temporal relations, which limits the learning capability of the model for different time periods and even different data scenarios. To overcome these limitations, we propose an automated dilated spatio-temporal synchronous graph network, named Auto-DSTSGN for traffic prediction. Specifically, we design an automated dilated spatio-temporal synchronous graph (Auto-DSTSG) module to capture the short-term and long-term spatio-temporal correlations by stacking deeper layers with dilation factors in an increasing order. Further, we propose a graph structure search approach to automatically construct the spatio-temporal synchronous graph that can adapt to different data scenarios. Extensive experiments on four real-world datasets demonstrate that our model can achieve about 10% improvements compared with the state-of-art methods. Source codes are available at https://github.com/jinguangyin/Auto-DSTSGN. © 2000-2011 IEEE."
Predicting influenza with pandemic-awareness via Dynamic Virtual Graph Significance Networks,"Every year, influenza spreads worldwide and burdens people's health substantially. We need a reliable model to help hospitals, pharmaceutical companies, and governments better prepare for influenza outbreaks in a timely manner. However, the domain knowledge for such public health events, such as the variable influenza seasonality and occasional pandemics, poses significant challenges in predicting influenza outbreaks. The existing methods use current and historical values in a user-defined time window as input to predict future values but lack considering the situations outside the window. To address these limitations, we proposed Dynamic Virtual Graph Significance Networks (DVGSN). The graph-based algorithm can supervisedly and dynamically learn the implied knowledge from similar “infection situations” in all the historical timepoints without the limitation of time window. Furthermore, representation learning on the dynamic virtual graph can tackle the varied seasonality with pandemic-awareness without requiring domain knowledge input. The extensive experiments on real-world influenza data demonstrate that DVGSN significantly outperforms the state-of-the-art methods. To the best of our knowledge, this is the first attempt to supervisedly learn a dynamic virtual graph for time-series prediction tasks. Moreover, the proposed method has rich interpretabilities, which makes the method more acceptable in the fields of public health, life sciences, and so on. Our source code and dataset are available at https://github.com/aI-area/DVGSN. © 2023"
Adaptive Spatiotemporal InceptionNet for Traffic Flow Forecasting,"Traffic flow forecasting is crucial to Intelligent Transportation Systems (ITS), particularly for route planning and traffic management. Spatiotemporal graph neural networks have been widely used for this purpose, where a global graph structure is mainly used, but local graph features are ignored. Multi-scale spatiotemporal features - the combined application of global and local graph features - can help effectively discover the underlying spatiotemporal patterns. This study proposed a multi-scale adaptive spatiotemporal forecasting model called Adaptive SpatioTemporal InceptionNet (AST-InceptionNet). To enrich the captured features and extract multi-scale spatiotemporal ones, the inception part is applied to combine local spatiotemporal features with several global ones. Additionally, we developed a fully adaptive graph convolution method, including topologically adaptive graph convolution and an adaptive adjacency matrix. It can autonomously and dynamically learn spatial heterogeneity and enable the proposed model to work with unknown adjacency relations. The proficiency of AST-InceptionNet was validated using four publicly available real-world traffic flow datasets. The experiments demonstrate a satisfactory performance from the proposed model, outperforming existing state-of-the-art methods by up to approximately 12%.  © 2000-2011 IEEE."
Dynamic Graph Convolutional Recurrent Network for Traffic Prediction: Benchmark and Solution,"Traffic prediction is the cornerstone of intelligent transportation system. Accurate traffic forecasting is essential for the applications of smart cities, i.e., intelligent traffic management and urban planning. Although various methods are proposed for spatio-temporal modeling, they ignore the dynamic characteristics of correlations among locations on road network. Meanwhile, most Recurrent Neural Network based works are not efficient enough due to their recurrent operations. Additionally, there is a severe lack of fair comparison among different methods on the same datasets. To address the above challenges, in this article, we propose a novel traffic prediction framework, named Dynamic Graph Convolutional Recurrent Network (DGCRN). In DGCRN, hyper-networks are designed to leverage and extract dynamic characteristics from node attributes, while the parameters of dynamic filters are generated at each time step. We filter the node embeddings and then use them to generate dynamic graph, which is integrated with pre-defined static graph. As far as we know, we are first to employ a generation method to model fine topology of dynamic graph at each time step. Furthermore, to enhance efficiency and performance, we employ a training strategy for DGCRN by restricting the iteration number of decoder during forward and backward propagation. Finally, a reproducible standardized benchmark and a brand new representative traffic dataset are opened for fair comparison and further research. Extensive experiments on three datasets demonstrate that our model outperforms 15 baselines consistently. Source codes are available at https://github.com/tsinghua-fib-lab/Traffic-Benchmark.  © 2023 Copyright held by the owner/author(s). Publication rights licensed to ACM."
Graph neural network for traffic forecasting: A survey,"Traffic forecasting is important for the success of intelligent transportation systems. Deep learning models, including convolution neural networks and recurrent neural networks, have been extensively applied in traffic forecasting problems to model spatial and temporal dependencies. In recent years, to model the graph structures in transportation systems as well as contextual information, graph neural networks have been introduced and have achieved state-of-the-art performance in a series of traffic forecasting problems. In this survey, we review the rapidly growing body of research using different graph neural networks, e.g. graph convolutional and graph attention networks, in various traffic forecasting problems, e.g. road traffic flow and speed forecasting, passenger flow forecasting in urban rail transit systems, and demand forecasting in ride-hailing platforms. We also present a comprehensive list of open data and source codes for each problem and identify future research directions. To the best of our knowledge, this paper is the first comprehensive survey that explores the application of graph neural networks for traffic forecasting problems. We have also created a public GitHub repository where the latest papers, open data, and source codes will be updated. © 2022 Elsevier Ltd"
KST-GCN: A Knowledge-Driven Spatial-Temporal Graph Convolutional Network for Traffic Forecasting,"While considering the spatial and temporal features of traffic, capturing the impacts of various external factors on travel is an essential step towards achieving accurate traffic forecasting. However, existing studies seldom consider external factors or neglect the effect of the complex correlations among external factors on traffic. Intuitively, knowledge graphs can naturally describe these correlations. Since knowledge graphs and traffic networks are essentially heterogeneous networks, it is challenging to integrate the information in both networks. On this background, this study presents a knowledge representation-driven traffic forecasting method based on spatial-temporal graph convolutional networks. We first construct a knowledge graph for traffic forecasting and derive knowledge representations by a knowledge representation learning method named KR-EAR. Then, we propose the Knowledge Fusion Cell (KF-Cell) to combine the knowledge and traffic features as the input of a spatial-temporal graph convolutional backbone network. Experimental results on the real-world dataset show that our strategy enhances the forecasting performances of backbones at various prediction horizons. The ablation and perturbation analysis further verify the effectiveness and robustness of the proposed method. To the best of our knowledge, this is the first study that constructs and utilizes a knowledge graph to facilitate traffic forecasting; it also offers a promising direction to integrate external information and spatial-temporal information for traffic forecasting. The source code is available at https://github.com/lehaifeng/T-GCN/tree/master/KST-GCN. © 2022 IEEE."
