Cluster ID,Included/Excluded (Author 1),Author 2
-1,Include,Include
0,Exclude,Exclude
1,Include,Include
2,Exclude,Exclude
3,Exclude,Exclude
4,Exclude,Exclude
5,Include,Include
6,Exclude,Exclude
7,Include,Include
8,Include,Include
9,Include,Include
10,Exclude,Exclude
11,Include,Include
12,Include,Include
13,Exclude,Exclude
14,Exclude,Exclude
15,Exclude,Exclude
16,Exclude,Exclude
17,Include,Include
18,Exclude,Exclude
19,Exclude,Exclude
20,Include,Include
21,Exclude,Exclude
22,Exclude,Exclude
23,Exclude,Exclude
24,Include,Include
25,Include,Include
26,Include,Include
27,Include,Include
28,Exclude,Exclude
29,Include,Include
30,Exclude,Exclude
31,Exclude,Exclude
32,Include,Include
33,Include,Include
34,Exclude,Exclude
35,Exclude,Exclude
36,Exclude,Exclude
