Authors,Title,Abstract,Document Type,Year,Link,Source title,Include/Exclude,Author 1 Re-tag,Author 2,Author 2 Re-tag
Hu Z.; Wang Y.; Ning H.; Wu D.; Nie F.,Mutual-Taught Deep Clustering,"Deep clustering seeks to group data into distinct clusters using deep learning techniques. Existing approaches of deep clustering can be broadly categorized into two groups: offline clustering based on unsupervised representation learning and online clustering based on unsupervised classification. While both groups have demonstrated impressive performance in deep clustering, no study has explored the integration of their respective strengths. To this end, we propose Mutual-Taught Deep Clustering (MTDC), which unifies unsupervised representation learning and unsupervised classification into a framework while realizing mutual promotion using a novel mutual-taught mechanism. Specifically, MTDC alternates between predicting pseudolabels in label space and estimating semantic similarity in feature space during training. Moreover, pseudolabels provide weakly-supervised information to enhance unsupervised representation learning, while semantic similarities function as structural priors that regularize unsupervised classification. Consequently, unsupervised classification and unsupervised representation learning can mutually benefit from one another. MTDC is decoupled from prevailing deep clustering methods. For the sake of clarity, we build upon a straightforward baseline in this paper. Despite its simplicity, we demonstrate that MTDC is exceedingly efficacious and consistently enhances the baseline results by substantial margins. For example, MTDC achieves 2.5%∼7.9% (NMI), 3.0%∼13.9% (ACC), and 3.1%∼16.7% (ARI) gains over the baseline on six widely used image datasets. Source code is available at:https://github.com/yichenwang231/MTDC. © 2023 Elsevier B.V.",Article,2023,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174721430&doi=10.1016%2fj.knosys.2023.111100&partnerID=40&md5=26dc63ed5f49d8920bcc0d72f9d67cee,Knowledge-Based Systems,Exclude,,,
Hu C.; Li S.; Yang C.; Chen J.; Xiong Y.; Fan G.; Liu H.; Hong L.,ScaffoldGVAE: scaffold generation and hopping of drug molecules via a variational autoencoder based on multi-view graph neural networks,"In recent years, drug design has been revolutionized by the application of deep learning techniques, and molecule generation is a crucial aspect of this transformation. However, most of the current deep learning approaches do not explicitly consider and apply scaffold hopping strategy when performing molecular generation. In this work, we propose ScaffoldGVAE, a variational autoencoder based on multi-view graph neural networks, for scaffold generation and scaffold hopping of drug molecules. The model integrates several important components, such as node-central and edge-central message passing, side-chain embedding, and Gaussian mixture distribution of scaffolds. To assess the efficacy of our model, we conduct a comprehensive evaluation and comparison with baseline models based on seven general generative model evaluation metrics and four scaffold hopping generative model evaluation metrics. The results demonstrate that ScaffoldGVAE can explore the unseen chemical space and generate novel molecules distinct from known compounds. Especially, the scaffold hopped molecules generated by our model are validated by the evaluation of GraphDTA, LeDock, and MM/GBSA. The case study of generating inhibitors of LRRK2 for the treatment of PD further demonstrates the effectiveness of ScaffoldGVAE in generating novel compounds through scaffold hopping. This novel approach can also be applied to other protein targets of various diseases, thereby contributing to the future development of new drugs. Source codes and data are available at https://github.com/ecust-hc/ScaffoldGVAE . © 2023, Springer Nature Switzerland AG.",Article,2023,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173741237&doi=10.1186%2fs13321-023-00766-0&partnerID=40&md5=6677809215ac91f74ddab1b389c8cdec,Journal of Cheminformatics,Exclude,,Exclude,
Liu Y.; Liang K.; Xia J.; Yang X.; Zhou S.; Liu M.; Liu X.; Li S.Z.,Reinforcement Graph Clustering with Unknown Cluster Number,"Deep graph clustering, which aims to group nodes into disjoint clusters by neural networks in an unsupervised manner, has attracted great attention in recent years. Although the performance has been largely improved, the excellent performance of the existing methods heavily relies on an accurately predefined cluster number, which is not always available in the real-world scenario. To enable the deep graph clustering algorithms to work without the guidance of the predefined cluster number, we propose a new deep graph clustering method termed Reinforcement Graph Clustering (RGC). In our proposed method, cluster number determination and unsupervised representation learning are unified into a uniform framework by the reinforcement learning mechanism. Concretely, the discriminative node representations are first learned with the contrastive pretext task. Then, to capture the clustering state accurately with both local and global information in the graph, both node and cluster states are considered. Subsequently, at each state, the qualities of different cluster numbers are evaluated by the quality network, and the greedy action is executed to determine the cluster number. In order to conduct feedback actions, the clustering-oriented reward function is proposed to enhance the cohesion of the same clusters and separate the different clusters. Extensive experiments demonstrate the effectiveness and efficiency of our proposed method. The source code of RGC is shared at https://github.com/yueliu1999/RGC and a collection (papers, codes and, datasets) of deep graph clustering is shared at https://github.com/yueliu1999/Awesome-Deep-Graph-Clustering on Github. © 2023 ACM.",Conference paper,2023,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85179548806&doi=10.1145%2f3581783.3612155&partnerID=40&md5=4a19ee79caec60009650248174fdd65d,MM 2023 - Proceedings of the 31st ACM International Conference on Multimedia,Exclude,,,
Zhang S.; Jin P.; Lin Z.; Sun Y.; Zhang B.; Xia S.; Li Z.; Zhong Z.; Ma M.; Jin W.; Zhang D.; Zhu Z.; Pei D.,Robust Failure Diagnosis of Microservice System Through Multimodal Data,"Automatic failure diagnosis is crucial for large microservice systems. Currently, most failure diagnosis methods rely solely on single-modal data (i.e., using either metrics, logs, or traces). In this study, we conduct an empirical study using real-world failure cases to show that combining these sources of data (multimodal data) leads to a more accurate diagnosis. However, effectively representing these data and addressing imbalanced failures remain challenging. To tackle these issues, we propose DiagFusion, a robust failure diagnosis approach that uses multimodal data. It leverages embedding techniques and data augmentation to represent the multimodal data of service instances, combines deployment data and traces to build a dependency graph, and uses a graph neural network to localize the root cause instance and determine the failure type. Our evaluations using real-world datasets show that DiagFusion outperforms existing methods in terms of root cause instance localization (improving by 20.9% to 368%) and failure type determination (improving by 11.0% to 169%).  © 2008-2012 IEEE.",Article,2023,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163552123&doi=10.1109%2fTSC.2023.3290018&partnerID=40&md5=62fca280c2498627bdfdb05971af34e3,IEEE Transactions on Services Computing,Exclude,,Exclude,
Snášel V.; Štěpnička M.; Ojha V.; Suganthan P.N.; Gao R.; Kong L.,Large-scale data classification based on the integrated fusion of fuzzy learning and graph neural network,"Deep learning and fuzzy models provide powerful and practical techniques for solving large-scale deep-learning tasks. The fusion technique on deep learning and fuzzy system are generally classified into ensemble and integrated modes and materializes in information fusion, model fusion, and feature fusion. In an ensemble-based fusion, the fuzzy model either acts as an activation function or is operated as a separate process aggregating/preprocessing the information. Some early attempts in the field have successfully fused deep neural networks and fuzzy modeling concepts in ensemble mode. However, no effective attempts were made to fuse fuzzy models as an integrated feature-level fusion learning with graph neural networks (GNNs). This is mainly due to two challenges related to this fusion: (1) the number of fuzzy rules grows exponentially with the number of features that causes computational inefficiency, and (2) the solution space created by this fusion of fuzzy rules becomes complex due to multiple regression relations between inputs and outputs. Additionally, a simple linear regression at the output space would not be sufficient to model deep learning tasks. Therefore, this paper addresses these challenges by proposing a feature-level fusion method to fuse deep learning and fuzzy modeling where the latter technique is for integrated feature learning, called fuzzy forest graph neural network (FuzzyGNN), which creates a fuzzy learning forest fusing the linear graph transformers for deep learning tasks. We conducted experiments on fourteen machine learning datasets to test and validate the efficiency of the proposed FuzzyGNN model. Compared to state-of-the-art methods, our algorithm achieves the best results on four out of five machine learning datasets. The source code will be available at https://github.com/lingping-fuzzy/, https://github.com/vojha-code and https://github.com/P-N-Suganthan. © 2023 The Authors",Article,2024,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174799199&doi=10.1016%2fj.inffus.2023.102067&partnerID=40&md5=31e23360570fff11e796ede0d23109cc,Information Fusion,Exclude,,Exclude,
Shi Y.; Wang B.; Yu Y.; Tang X.; Huang C.; Dong J.,Robust anomaly detection for multivariate time series through temporal GCNs and attention-based VAE,"Anomaly detection on multivariate time series (MTS) is of great importance in both data mining research and industrial applications. While a handful of anomaly detection models are developed for MTS data, most of them either ignore the potential correlations between different variables or overlook the different importance of variables at each time period in MTS, which leads to poor accuracy in anomaly detection. In this paper, we propose a novel unsupervised MUltivariate Time series ANomaly deTection framework (MUTANT), which simultaneously models the correlations between variables and the importance of variables at each time period. Specifically, we construct a feature graph for variables in each time window and perform graph convolutional network (GCN) to learn embeddings for all variables, which effectively captures the time-varying correlations between variables in MTS. Then, we propose an attention-based reconstruction model to learn robust latent representations to capture normal patterns of MTS by modeling the importance of variables based on time dependencies along with time dimension. Our evaluation experiments are conducted on four real-life datasets from different industrial domains. Experimental results show that MUTANT significantly outperforms state-of-the-art MTS anomaly detection methods, achieving an average anomaly detection F1-score higher than 0.96. The source code is available at https://github.com/Coac-syf/MUTANT. © 2023 Elsevier B.V.",Article,2023,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163554843&doi=10.1016%2fj.knosys.2023.110725&partnerID=40&md5=1d0ed301a5876b7b5a8a24b839284442,Knowledge-Based Systems,Exclude,,Exclude,
Zhang W.; Wu Q.M.J.; Zhao W.G.W.; Deng H.; Yang Y.,Hierarchical One-Class Model With Subnetwork for Representation Learning and Outlier Detection,"The multilayer one-class classification (OCC) frameworks have gained great traction in research on anomaly and outlier detection. However, most multilayer OCC algorithms suffer from loosely connected feature coding, affecting the ability of generated latent space to properly generate a highly discriminative representation between object classes. To alleviate this deficiency, two novel OCC frameworks, namely: 1) OCC structure using the subnetwork neural network (OC-SNN) and 2) maximum correntropy-based OC-SNN (MCOC-SNN), are proposed in this article. The novelties of this article are as follows: 1) the subnetwork is used to build the discriminative latent space; 2) the proposed models are one-step learning networks, instead of stacking feature learning blocks and final classification layer to recognize the input pattern; 3) unlike existing works which utilize mean square error (MSE) to learn low-dimensional features, the MCOC-SNN uses maximum correntropy criterion (MCC) for discriminative feature encoding; and 4) a brand-new OCC dataset, called CO-Mask, is built for this research. Experimental results on the visual classification domain with a varying number of training samples from 6131 to 513 061 demonstrate that the proposed OC-SNN and MCOC-SNN achieve superior performance compared to the existing multilayer OCC models. For reproducibility, the source codes are available at https://github.com/W1AE/OCC.  © 2013 IEEE.",Article,2023,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129352878&doi=10.1109%2fTCYB.2022.3166349&partnerID=40&md5=b44ca70756082aa923f883d3a4ead943,IEEE Transactions on Cybernetics,Exclude,,,
Sun S.; Liu D.; Dong J.; Qu X.; Gao J.; Yang X.; Wang X.; Wang M.,Unified Multi-modal Unsupervised Representation Learning for Skeleton-based Action Understanding,"Unsupervised pre-training has shown great success in skeleton-based action understanding recently. Existing works typically train separate modality-specific models (i.e., joint, bone, and motion), then integrate the multi-modal information for action understanding by a late-fusion strategy. Although these approaches have achieved significant performance, they suffer from the complex yet redundant multi-stream model designs, each of which is also limited to the fixed input skeleton modality. To alleviate these issues, in this paper, we propose a Unified Multimodal Unsupervised Representation Learning framework, called UmURL, which exploits an efficient early-fusion strategy to jointly encode the multi-modal features in a single-stream manner. Specifically, instead of designing separate modality-specific optimization processes for uni-modal unsupervised learning, we feed different modality inputs into the same stream with an early-fusion strategy to learn their multi-modal features for reducing model complexity. To ensure that the fused multi-modal features do not exhibit modality bias, i.e., being dominated by a certain modality input, we further propose both intra- and inter-modal consistency learning to guarantee that the multi-modal features contain the complete semantics of each modal via feature decomposition and distinct alignment. In this manner, our framework is able to learn the unified representations of uni-modal or multi-modal skeleton input, which is flexible to different kinds of modality input for robust action understanding in practical cases. Extensive experiments conducted on three large-scale datasets, i.e., NTU-60, NTU-120, and PKU-MMD II, demonstrate that UmURL is highly efficient, possessing the approximate complexity with the uni-modal methods, while achieving new state-of-the-art performance across various downstream task scenarios in skeleton-based action representation learning. Our source code is available at https://github.com/HuiGuanLab/UmURL. © 2023 ACM.",Conference paper,2023,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85179553595&doi=10.1145%2f3581783.3612449&partnerID=40&md5=4ba2887e918fc1064ce9be967a7d12d7,MM 2023 - Proceedings of the 31st ACM International Conference on Multimedia,Exclude,,,
Sui J.; Chen J.; Chen Y.; Iwamori N.; Sun J.,Identification of plant vacuole proteins by using graph neural network and contact maps,"Plant vacuoles are essential organelles in the growth and development of plants, and accurate identification of their proteins is crucial for understanding their biological properties. In this study, we developed a novel model called GraphIdn for the identification of plant vacuole proteins. The model uses SeqVec, a deep representation learning model, to initialize the amino acid sequence. We utilized the AlphaFold2 algorithm to obtain the structural information of corresponding plant vacuole proteins, and then fed the calculated contact maps into a graph convolutional neural network. GraphIdn achieved accuracy values of 88.51% and 89.93% in independent testing and fivefold cross-validation, respectively, outperforming previous state-of-the-art predictors. As far as we know, this is the first model to use predicted protein topology structure graphs to identify plant vacuole proteins. Furthermore, we assessed the effectiveness and generalization capability of our GraphIdn model by applying it to identify and locate peroxisomal proteins, which yielded promising outcomes. The source code and datasets can be accessed at https://github.com/SJNNNN/GraphIdn . © 2023, BioMed Central Ltd., part of Springer Nature.",Article,2023,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171862085&doi=10.1186%2fs12859-023-05475-x&partnerID=40&md5=81ee853f734136f08d72a356c0139850,BMC Bioinformatics,Exclude,,,
Guo H.; Zhou Z.; Zhao D.; Gaaloul W.,EGNN: Energy-efficient anomaly detection for IoT multivariate time series data using graph neural network,"Anomaly detection has been widely applied in Internet of Things (IoT) to guarantee the health of IoT applications. Current studies on anomaly detection focus mainly on measurement design and discovery methods on the cloud, which, however, are associated with issues of computational heaviness and capacity limitation when applied at the network edge. Thus, it becomes important to ensure that the detection is not only accurate but also energy-efficient. To fill this gap, this paper proposes an accurate and Energy-efficient Graph Neural Network based anomaly detection method (EGNN) for IoT multivariate time series data. Specifically, correlations between sensory data upon different IoT devices, which are rarely considered in the literature, are explored through a developed Subgraph Generation Algorithm (SGA) based on graph structure learning. As a result, a dependency graph with multiple subgraphs and their corresponding centres is generated. Thereafter, to reduce anomaly-irrelevant sensory data transmitted in the network, only sensory data upon subgraph centres are utilized for anomaly detection by a computational-light approach, i.e., a multi-layer perceptron based forecasting method. Once an anomaly is detected, sensory data of whole subgraph data are adopted for obtaining accurate anomaly results, by a graph attention based forecasting method. This GNN-based anomaly detection strategy with Mode Switching (GMS) can greatly reduce anomaly-irrelevant data transmission, especially when anomalies occur infrequently. To validate the effectiveness of our mechanism, extensive experiments are conducted upon real-world IoT multivariate time series datasets, and comparison results demonstrate that our technique outperforms the state-of-the-art counterparts in terms of accuracy and energy-efficiency. © 2023 Elsevier B.V.",Article,2024,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173188295&doi=10.1016%2fj.future.2023.09.028&partnerID=40&md5=0c47b5bcbdd9713b6cdd727855f4f198,Future Generation Computer Systems,Exclude,,,
