Authors,Title,Abstract,Document Type,Year,Link,Source title,Round 3 ID,Included/Excluded,Reason,Notes
Mi Q.; Zhan Y.; Weng H.; Bao Q.; Cui L.; Ma W.,A graph-based code representation method to improve code readability classification,"Context: Code readability is crucial for developers since it is closely related to code maintenance and affects developers’ work efficiency. Code readability classification refers to the source code being classified as pre-defined certain levels according to its readability. So far, many code readability classification models have been proposed in existing studies, including deep learning networks that have achieved relatively high accuracy and good performance. Objective: However, in terms of representation, these methods lack effective preservation of the syntactic and semantic structure of the source code. To extract these features, we propose a graph-based code representation method. Method: Firstly, the source code is parsed into a graph containing its abstract syntax tree (AST) combined with control and data flow edges to reserve the semantic structural information and then we convert the graph nodes’ source code and type information into vectors. Finally, we train our graph neural networks model composing Graph Convolutional Network (GCN), DMoNPooling, and K-dimensional Graph Neural Networks (k-GNNs) layers to extract these features from the program graph. Result: We evaluate our approach to the task of code readability classification using a Java dataset provided by Scalabrino et al. (2016). The results show that our method achieves 72.5% and 88% in three-class and two-class classification accuracy, respectively. Conclusion: We are the first to introduce graph-based representation into code readability classification. Our method outperforms state-of-the-art readability models, which suggests that the graph-based code representation method is effective in extracting syntactic and semantic information from source code, and ultimately improves code readability classification. © 2023, The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature.",Article,2023,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160003449&doi=10.1007%2fs10664-023-10319-6&partnerID=40&md5=123f5324dfc79038a0d3244e8c791cab,Empirical Software Engineering,1,Include,I1.2,The network architecture is not reported consistently. 
Pian W.; Peng H.; Tang X.; Sun T.; Tian H.; Habib A.; Klein J.; Bissyandé T.F.,MetaTPTrans: A Meta Learning Approach for Multilingual Code Representation Learning,"Representation learning of source code is essential for applying machine learning to software engineering tasks. Learning code representation from a multilingual source code dataset has been shown to be more effective than learning from single-language datasets separately, since more training data from multilingual dataset improves the model’s ability to extract language-agnostic information from source code. However, existing multilingual training overlooks the language-specific information which is crucial for modeling source code across different programming languages, while only focusing on learning a unified model with shared parameters among different languages for language-agnostic information modeling. To address this problem, we propose MetaTPTrans, a meta learning approach for multilingual code representation learning. MetaTPTrans generates different parameters for the feature extractor according to the specific programming language type of the input code snippet, enabling the model to learn both language-agnostic and language-specific information with dynamic parameters in the feature extractor. We conduct experiments on the code summarization and code completion tasks to verify the effectiveness of our approach. The results demonstrate the superiority of our approach with significant improvements on state-of-the-art baselines. p g . Copyright © 2023, Association for the Advancement of Artificial Intelligence (www.aaai.org). All rights reserved.",Conference paper,2023,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85167864360&partnerID=40&md5=1daa985a31f853e55cc239b7c4f9cdc2,"Proceedings of the 37th AAAI Conference on Artificial Intelligence, AAAI 2023",2,Exclude,E1.3,
Ding Z.; Li H.; Shang W.; Chen T.-H.P.,Towards Learning Generalizable Code Embeddings Using Task-agnostic Graph Convolutional Networks,"Code embeddings have seen increasing applications in software engineering (SE) research and practice recently. Despite the advances in embedding techniques applied in SE research, one of the main challenges is their generalizability. A recent study finds that code embeddings may not be readily leveraged for the downstream tasks that the embeddings are not particularly trained for. Therefore, in this article, we propose GraphCodeVec, which represents the source code as graphs and leverages the Graph Convolutional Networks to learn more generalizable code embeddings in a task-agnostic manner. The edges in the graph representation are automatically constructed from the paths in the abstract syntax trees, and the nodes from the tokens in the source code. To evaluate the effectiveness of GraphCodeVec , we consider three downstream benchmark tasks (i.e., code comment generation, code authorship identification, and code clones detection) that are used in a prior benchmarking of code embeddings and add three new downstream tasks (i.e., source code classification, logging statements prediction, and software defect prediction), resulting in a total of six downstream tasks that are considered in our evaluation. For each downstream task, we apply the embeddings learned by GraphCodeVec and the embeddings learned from four baseline approaches and compare their respective performance. We find that GraphCodeVec outperforms all the baselines in five out of the six downstream tasks, and its performance is relatively stable across different tasks and datasets. In addition, we perform ablation experiments to understand the impacts of the training context (i.e., the graph context extracted from the abstract syntax trees) and the training model (i.e., the Graph Convolutional Networks) on the effectiveness of the generated embeddings. The results show that both the graph context and the Graph Convolutional Networks can benefit GraphCodeVec in producing high-quality embeddings for the downstream tasks, while the improvement by Graph Convolutional Networks is more robust across different downstream tasks and datasets. Our findings suggest that future research and practice may consider using graph-based deep learning methods to capture the structural information of the source code for SE tasks.  © 2023 Association for Computing Machinery.",Article,2023,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153731394&doi=10.1145%2f3542944&partnerID=40&md5=5579536a2ca56d11845228acae273057,ACM Transactions on Software Engineering and Methodology,3,Include,I1.2/I1.1,
Dong Z.; Hu Q.; Zhang Z.; Zhao J.,On the Effectiveness of Graph Data Augmentation for Source Code Learning,"The methodology that uses deep learning to solve software engineering tasks, such as bug detection, is known as source code learning. Due to the graph nature of source code, graph learning, empowered by graph neural networks (GNNs), has been increasingly adopted for source code learning. Like other deep learning contexts, source code learning also relies on massive high-quality training data, and the shortage of such data has become the main performance bottleneck. In practice, data augmentation is often used as a countermeasure to mitigate this issue, by synthesizing additional training data based on existing ones. However, most existing practice of data augmentation in source code learning limits simple code refactoring methods and is not sufficiently effective. In this work, in light of the graph nature of source code, we propose to apply the data augmentation methods used for graph-structured data in graph learning to the tasks of source code learning, and we conduct a comprehensive empirical study to evaluate whether such new ways of data augmentation are more effective than the existing simple code refactoring methods. Specifically, we evaluate 4 critical software engineering tasks and 7 neural network architectures to assess the effectiveness of 5 data augmentation methods. Experimental results identify that, compared to other methods, Manifold-Mixup can greatly improve the accuracy of the trained models for source code learning.  © 2023 IEEE.",Conference paper,2023,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85179522132&doi=10.1109%2fDSA59317.2023.00124&partnerID=40&md5=86fc4890726e94127df716a7a57d61d1,"Proceedings - 2023 10th International Conference on Dependable Systems and Their Applications, DSA 2023",4,Exclude,E3.1,
Pan W.; Ming H.; Kim D.-K.; Yang Z.,Pride: Prioritizing Documentation Effort Based on a PageRank-Like Algorithm and Simple Filtering Rules,"Code documentation can be helpful in many software quality assurance tasks. However, due to resource constraints (e.g., time, human resources, and budget), programmers often cannot document their work completely and timely. In the literature, two approaches (one is supervised and the other is unsupervised) have been proposed to prioritize documentation effort to ensure the most important classes to be documented first. However, both of them contain several limitations. The supervised approach overly relies on a difficult-to-obtain labeled data set and has high computation cost. The unsupervised one depends on a graph representation of the software structure, which is inaccurate since it neglects many important couplings between classes. In this paper, we propose an improved approach, named Pride, to prioritize documentation effort. First, Pride uses a weighted directed class coupling network to precisely describe classes and their couplings. Second, we propose a PageRank-like algorithm to quantify the importance of classes in the whole class coupling network. Third, we use a set of software metrics to quantify source code complexity and further propose a simple but easy-to-operate filtering rule. Fourth, we sort all the classes according to their importance in descending order and use the filtering rule to filter out unimportant classes. Finally, a threshold kk is utilized, and the top-kk% ranked classes are the identified important classes to be documented first. Empirical results on a set of nine software systems show that, according to the average ranking of the Friedman test, Pride is superior to the existing approaches in the whole data set.  © 2022 IEEE.",Article,2023,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129670613&doi=10.1109%2fTSE.2022.3171469&partnerID=40&md5=346cf30e57b601387a769a9b0f781a8d,IEEE Transactions on Software Engineering,230,Include,,
Cassagne J.; Merlo E.; Branco P.; Jourdan G.-V.; Onut I.-V.,Unsupervised Graph Neural Networks for Source Code Similarity Detection,"In this paper, we propose a novel unsupervised approach for code similarity and clone detection that is based on Graph Neural Networks. We propose a hybrid approach to detect similarities within source code, using centroid distances and a Graph Auto-Encoder that uses a raw abstract syntax trees as input. When compared to RTVNN [33], the state-of-the-art unsupervised approach for code similarity and clone detection, our method improves significantly training and inference time efficiency, while preserving or improving precision. In our experiments, our algorithm is on average 77 times faster during training and 21 times faster during inference. This shows that using Graph Auto-Encoders in the domain of source code similarity analysis is the better option in an industrial context or in a production environment. We illustrate this by using our approach to compute source code similarity within a large dataset of phishing kits written in PHP provided by our industry partner. © 2023, The Author(s), under exclusive license to Springer Nature Switzerland AG.",Conference paper,2023,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174316921&doi=10.1007%2f978-3-031-45275-8_36&partnerID=40&md5=aee61debb36b07fa4fc6b014d2bd824f,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),5,Include,I1.1,
Liu J.; Zeng J.; Wang X.; Liang Z.,Learning Graph-based Code Representations for Source-level Functional Similarity Detection,"Detecting code functional similarity forms the basis of various software engineering tasks. However, the detection is challenging as functionally similar code fragments can be implemented differently, e.g., with irrelevant syntax. Recent studies incorporate program dependencies as semantics to identify syntactically different yet semantically similar programs, but they often focus only on local neighborhoods (e.g., one-hop dependencies), limiting the expressiveness of program semantics in modeling functionalities. In this paper, we present Tailor that explicitly exploits deep graph-structured code features for functional similarity detection. Given source-level programs, Tailor first represents them into code property graphs (CPGs) - which combine abstract syntax trees, control flow graphs, and data flow graphs - to collectively reason about program syntax and semantics. Then, Tailor learns representations of CPGs by applying a CPG-based neural network (CPGNN) to iteratively propagate information on them. It improves over prior work on code representation learning through a new graph neural network (GNN) tailored to CPG structures instead of the off-the-shelf GNNs used previously. We systematically evaluate Tailor on C and Java programs using two public benchmarks. Experimental results show that Tailor outperforms the state-of-the-art approaches, achieving 99.8% and 99.9% F-scores in code clone detection and 98.3% accuracy in source code classification. © 2023 IEEE.",Conference paper,2023,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171745038&doi=10.1109%2fICSE48619.2023.00040&partnerID=40&md5=53a3e46dcfc8d8ebf0487b07fc1986f7,Proceedings - International Conference on Software Engineering,6,Include,I1.1,
Das D.; Mathews N.S.; Mathai A.; Tamilselvam S.; Sedamaki K.; Chimalakonda S.; Kumar A.,COMEX: A Tool for Generating Customized Source Code Representations,"Learning effective representations of source code is critical for any Machine Learning for Software Engineering (ML4SE) system. Inspired by natural language processing, large language models (LLMs) like Codex and CodeGen treat code as generic sequences of text and are trained on huge corpora of code data, achieving state of the art performance on several software engineering (SE) tasks. However, valid source code, unlike natural language, follows a strict structure and pattern governed by the underlying grammar of the programming language. Current LLMs do not exploit this property of the source code as they treat code like a sequence of tokens and overlook key structural and semantic properties of code that can be extracted from code-views like the Control Flow Graph (CFG), Data Flow Graph (DFG), Abstract Syntax Tree (AST), etc. Unfortunately, the process of generating and integrating code-views for every programming language is cumbersome and time consuming. To overcome this barrier, we propose our tool COMEX - a framework that allows researchers and developers to create and combine multiple code-views which can be used by machine learning (ML) models for various SE tasks. Some salient features of our tool are: (i) it works directly on source code (which need not be compilable), (ii) it currently supports Java and C#, (iii) it can analyze both method-level snippets and program-level snippets by using both intra-procedural and inter-procedural analysis, and (iv) it is easily extendable to other languages as it is built on tree-sitter - a widely used incremental parser that supports over 40 languages. We believe this easy-to-use code-view generation and customization tool will give impetus to research in source code representation learning methods and ML4SE. The source code and demonstration of our tool can be found at https://github.com/IBM/tree-sitter-codeviews and https://youtu.be/GER6U87FVbU, respectively.  © 2023 IEEE.",Conference paper,2023,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85178994775&doi=10.1109%2fASE56229.2023.00010&partnerID=40&md5=1a70ee5b1443473ceb8605a0a5bd21b9,"Proceedings - 2023 38th IEEE/ACM International Conference on Automated Software Engineering, ASE 2023",7,Exclude,E1.1,
Nashid N.; Sintaha M.; Mesbah A.,Embedding Context as Code Dependencies for Neural Program Repair,"Deep learning-based program repair has received significant attention from the research community lately. Most existing techniques treat source code as a sequence of tokens or abstract syntax trees. Consequently, they cannot incorporate semantic contextual information pertaining to a buggy line of code and its fix. In this work, we propose a program repair technique called GLANCE that combines static program analysis with graph-to-sequence learning for capturing contextual information. To represent contextual information, we introduce a graph representation that can encode information about the buggy code and its repair ingredients by embedding control and data flow information. We employ a fine-grained graphical code representation, which explicitly describes code change context and embeds semantic relationships between code elements. GLANCE leverages a graph neural network and a sequence-based decoder to learn from this semantic code representation. We evaluated our work against six state-of-the-art techniques, and our results show that GLANCE fixes 52% more bugs than the best performing technique.  © 2023 IEEE.",Conference paper,2023,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161949341&doi=10.1109%2fICST57152.2023.00018&partnerID=40&md5=c0ba7521813481c648b352b9f7768f43,"Proceedings - 2023 IEEE 16th International Conference on Software Testing, Verification and Validation, ICST 2023",8,Include,I1.2,
Wang W.; Zhang K.; Li G.; Liu S.; Li A.; Jin Z.; Liu Y.,Learning Program Representations with a Tree-Structured Transformer,"Learning vector representations for programs is a critical step in applying deep learning techniques for program understanding tasks. Various neural network models are proposed to learn from tree-structured program representations, e.g., abstract syntax tree (AST) and concrete syntax tree (CST). However, most neural architectures either fail to capture long-range dependencies which are ubiquitous in programs, or cannot learn effective representations for syntax tree nodes, making them incapable of performing the node-level prediction tasks, e.g., bug localization. In this paper, we propose Tree-Transformer, a novel recursive tree-structured neural network to learn the vector representations for source codes. We propose a multi-head attention mechanism to model the dependency between siblings and parent-children node pairs. Moreover, we propose a bi-directional propagation strategy to allow node information passing in two directions, bottom-up and top-down along trees. In this way, Tree-Transformer can learn the information of the node features as well as the global contextual information. The extensive experimental results show that our Tree-Transformer significantly outperforms the existing tree-based and graph-based program representation learning approaches in both the tree-level and node-level prediction tasks. © 2023 IEEE.",Conference paper,2023,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160553032&doi=10.1109%2fSANER56733.2023.00032&partnerID=40&md5=026c96d9f2a353f6e064483c12951584,"Proceedings - 2023 IEEE International Conference on Software Analysis, Evolution and Reengineering, SANER 2023",9,Include,I1.1,
